"train/global_step","bert_small--encoder--jigsaw--symmetric-init - _step","bert_small--encoder--jigsaw--symmetric-init - _step__MIN","bert_small--encoder--jigsaw--symmetric-init - _step__MAX","bert_small--encoder--jigsaw--symmetric-init - train/loss","bert_small--encoder--jigsaw--symmetric-init - train/loss__MIN","bert_small--encoder--jigsaw--symmetric-init - train/loss__MAX","bert_small--encoder--jigsaw - _step","bert_small--encoder--jigsaw - _step__MIN","bert_small--encoder--jigsaw - _step__MAX","bert_small--encoder--jigsaw - train/loss","bert_small--encoder--jigsaw - train/loss__MIN","bert_small--encoder--jigsaw - train/loss__MAX","bert_small--decoder--jigsaw--symmetric-init - _step","bert_small--decoder--jigsaw--symmetric-init - _step__MIN","bert_small--decoder--jigsaw--symmetric-init - _step__MAX","bert_small--decoder--jigsaw--symmetric-init - train/loss","bert_small--decoder--jigsaw--symmetric-init - train/loss__MIN","bert_small--decoder--jigsaw--symmetric-init - train/loss__MAX","bert_small--decoder--jigsaw - _step","bert_small--decoder--jigsaw - _step__MIN","bert_small--decoder--jigsaw - _step__MAX","bert_small--decoder--jigsaw - train/loss","bert_small--decoder--jigsaw - train/loss__MIN","bert_small--decoder--jigsaw - train/loss__MAX","bert--encoder--jigsaw - _step","bert--encoder--jigsaw - _step__MIN","bert--encoder--jigsaw - _step__MAX","bert--encoder--jigsaw - train/loss","bert--encoder--jigsaw - train/loss__MIN","bert--encoder--jigsaw - train/loss__MAX","bert--encoder--jigsaw--symmetric-init - _step","bert--encoder--jigsaw--symmetric-init - _step__MIN","bert--encoder--jigsaw--symmetric-init - _step__MAX","bert--encoder--jigsaw--symmetric-init - train/loss","bert--encoder--jigsaw--symmetric-init - train/loss__MIN","bert--encoder--jigsaw--symmetric-init - train/loss__MAX","bert--decoder--jigsaw - _step","bert--decoder--jigsaw - _step__MIN","bert--decoder--jigsaw - _step__MAX","bert--decoder--jigsaw - train/loss","bert--decoder--jigsaw - train/loss__MIN","bert--decoder--jigsaw - train/loss__MAX","bert--decoder--jigsaw--symmetric-init - _step","bert--decoder--jigsaw--symmetric-init - _step__MIN","bert--decoder--jigsaw--symmetric-init - _step__MAX","bert--decoder--jigsaw--symmetric-init - train/loss","bert--decoder--jigsaw--symmetric-init - train/loss__MIN","bert--decoder--jigsaw--symmetric-init - train/loss__MAX","bert--decoder--wikipedia--symmetric-init - _step","bert--decoder--wikipedia--symmetric-init - _step__MIN","bert--decoder--wikipedia--symmetric-init - _step__MAX","bert--decoder--wikipedia--symmetric-init - train/loss","bert--decoder--wikipedia--symmetric-init - train/loss__MIN","bert--decoder--wikipedia--symmetric-init - train/loss__MAX","bert--decoder--wikipedia - _step","bert--decoder--wikipedia - _step__MIN","bert--decoder--wikipedia - _step__MAX","bert--decoder--wikipedia - train/loss","bert--decoder--wikipedia - train/loss__MIN","bert--decoder--wikipedia - train/loss__MAX","bert_small--decoder--wikipedia--symmetric-init - _step","bert_small--decoder--wikipedia--symmetric-init - _step__MIN","bert_small--decoder--wikipedia--symmetric-init - _step__MAX","bert_small--decoder--wikipedia--symmetric-init - train/loss","bert_small--decoder--wikipedia--symmetric-init - train/loss__MIN","bert_small--decoder--wikipedia--symmetric-init - train/loss__MAX","bert_small--decoder--wikipedia - _step","bert_small--decoder--wikipedia - _step__MIN","bert_small--decoder--wikipedia - _step__MAX","bert_small--decoder--wikipedia - train/loss","bert_small--decoder--wikipedia - train/loss__MIN","bert_small--decoder--wikipedia - train/loss__MAX","bert_small--encoder--red_pajama - _step","bert_small--encoder--red_pajama - _step__MIN","bert_small--encoder--red_pajama - _step__MAX","bert_small--encoder--red_pajama - train/loss","bert_small--encoder--red_pajama - train/loss__MIN","bert_small--encoder--red_pajama - train/loss__MAX","bert_small--encoder--wikipedia--symmetric-init - _step","bert_small--encoder--wikipedia--symmetric-init - _step__MIN","bert_small--encoder--wikipedia--symmetric-init - _step__MAX","bert_small--encoder--wikipedia--symmetric-init - train/loss","bert_small--encoder--wikipedia--symmetric-init - train/loss__MIN","bert_small--encoder--wikipedia--symmetric-init - train/loss__MAX","bert_small--encoder--wikipedia - _step","bert_small--encoder--wikipedia - _step__MIN","bert_small--encoder--wikipedia - _step__MAX","bert_small--encoder--wikipedia - train/loss","bert_small--encoder--wikipedia - train/loss__MIN","bert_small--encoder--wikipedia - train/loss__MAX","bert--encoder--wikipedia - _step","bert--encoder--wikipedia - _step__MIN","bert--encoder--wikipedia - _step__MAX","bert--encoder--wikipedia - train/loss","bert--encoder--wikipedia - train/loss__MIN","bert--encoder--wikipedia - train/loss__MAX","bert--encoder--wikipedia--symmetric-init - _step","bert--encoder--wikipedia--symmetric-init - _step__MIN","bert--encoder--wikipedia--symmetric-init - _step__MAX","bert--encoder--wikipedia--symmetric-init - train/loss","bert--encoder--wikipedia--symmetric-init - train/loss__MIN","bert--encoder--wikipedia--symmetric-init - train/loss__MAX","bert--decoder--red_pajama - _step","bert--decoder--red_pajama - _step__MIN","bert--decoder--red_pajama - _step__MAX","bert--decoder--red_pajama - train/loss","bert--decoder--red_pajama - train/loss__MIN","bert--decoder--red_pajama - train/loss__MAX","bert--encoder--red_pajama - _step","bert--encoder--red_pajama - _step__MIN","bert--encoder--red_pajama - _step__MAX","bert--encoder--red_pajama - train/loss","bert--encoder--red_pajama - train/loss__MIN","bert--encoder--red_pajama - train/loss__MAX","bert--encoder--red_pajama--symmetric-init - _step","bert--encoder--red_pajama--symmetric-init - _step__MIN","bert--encoder--red_pajama--symmetric-init - _step__MAX","bert--encoder--red_pajama--symmetric-init - train/loss","bert--encoder--red_pajama--symmetric-init - train/loss__MIN","bert--encoder--red_pajama--symmetric-init - train/loss__MAX","bert--decoder--red_pajama--symmetric-init - _step","bert--decoder--red_pajama--symmetric-init - _step__MIN","bert--decoder--red_pajama--symmetric-init - _step__MAX","bert--decoder--red_pajama--symmetric-init - train/loss","bert--decoder--red_pajama--symmetric-init - train/loss__MIN","bert--decoder--red_pajama--symmetric-init - train/loss__MAX","bert_small--decoder--red_pajama - _step","bert_small--decoder--red_pajama - _step__MIN","bert_small--decoder--red_pajama - _step__MAX","bert_small--decoder--red_pajama - train/loss","bert_small--decoder--red_pajama - train/loss__MIN","bert_small--decoder--red_pajama - train/loss__MAX","bert_small--decoder--red_pajama--symmetric-init - _step","bert_small--decoder--red_pajama--symmetric-init - _step__MIN","bert_small--decoder--red_pajama--symmetric-init - _step__MAX","bert_small--decoder--red_pajama--symmetric-init - train/loss","bert_small--decoder--red_pajama--symmetric-init - train/loss__MIN","bert_small--decoder--red_pajama--symmetric-init - train/loss__MAX","bert_small--encoder--red_pajama--symmetric-init - _step","bert_small--encoder--red_pajama--symmetric-init - _step__MIN","bert_small--encoder--red_pajama--symmetric-init - _step__MAX","bert_small--encoder--red_pajama--symmetric-init - train/loss","bert_small--encoder--red_pajama--symmetric-init - train/loss__MIN","bert_small--encoder--red_pajama--symmetric-init - train/loss__MAX"
"200","0","0","0","9.5959","9.5959","9.5959","0","0","0","9.6087","9.6087","9.6087","0","0","0","9.6072","9.6072","9.6072","0","0","0","9.6284","9.6284","9.6284","0","0","0","8.1916","8.1916","8.1916","0","0","0","8.1939","8.1939","8.1939","0","0","0","8.1801","8.1801","8.1801","0","0","0","8.183","8.183","8.183","0","0","0","5.526","5.526","5.526","0","0","0","5.5318","5.5318","5.5318","0","0","0","8.6788","8.6788","8.6788","0","0","0","8.692","8.692","8.692","0","0","0","8.7183","8.7183","8.7183","0","0","0","8.6901","8.6901","8.6901","0","0","0","8.7135","8.7135","8.7135","0","0","0","5.5997","5.5997","5.5997","0","0","0","5.5907","5.5907","5.5907","0","0","0","5.5434","5.5434","5.5434","0","0","0","5.6016","5.6016","5.6016","0","0","0","5.5998","5.5998","5.5998","0","0","0","5.5392","5.5392","5.5392","0","0","0","8.7006","8.7006","8.7006","0","0","0","8.6898","8.6898","8.6898","0","0","0","8.6934","8.6934","8.6934"
"400","2","2","2","7.4346","7.4346","7.4346","2","2","2","7.4503","7.4503","7.4503","2","2","2","7.4426","7.4426","7.4426","2","2","2","7.4483","7.4483","7.4483","2","2","2","6.3975","6.3975","6.3975","2","2","2","6.4031","6.4031","6.4031","2","2","2","6.2502","6.2502","6.2502","2","2","2","6.2624","6.2624","6.2624","2","2","2","2.7809","2.7809","2.7809","2","2","2","2.7807","2.7807","2.7807","2","2","2","4.2135","4.2135","4.2135","2","2","2","4.2069","4.2069","4.2069","2","2","2","4.2839","4.2839","4.2839","2","2","2","4.2829","4.2829","4.2829","2","2","2","4.2803","4.2803","4.2803","2","2","2","2.8458","2.8458","2.8458","2","2","2","2.8469","2.8469","2.8469","2","2","2","2.8067","2.8067","2.8067","2","2","2","2.8427","2.8427","2.8427","2","2","2","2.8422","2.8422","2.8422","2","2","2","2.8082","2.8082","2.8082","2","2","2","4.2257","4.2257","4.2257","2","2","2","4.2299","4.2299","4.2299","2","2","2","4.2824","4.2824","4.2824"
"600","4","4","4","6.7834","6.7834","6.7834","4","4","4","6.7871","6.7871","6.7871","4","4","4","6.7439","6.7439","6.7439","4","4","4","6.7395","6.7395","6.7395","4","4","4","6.2107","6.2107","6.2107","4","4","4","6.2139","6.2139","6.2139","4","4","4","5.9492","5.9492","5.9492","4","4","4","5.9639","5.9639","5.9639","4","4","4","2.7403","2.7403","2.7403","4","4","4","2.7373","2.7373","2.7373","4","4","4","2.9477","2.9477","2.9477","4","4","4","2.948","2.948","2.948","4","4","4","2.9849","2.9849","2.9849","4","4","4","2.9842","2.9842","2.9842","4","4","4","2.9841","2.9841","2.9841","4","4","4","2.8174","2.8174","2.8174","4","4","4","2.816","2.816","2.816","4","4","4","2.7671","2.7671","2.7671","4","4","4","2.8136","2.8136","2.8136","4","4","4","2.813","2.813","2.813","4","4","4","2.7692","2.7692","2.7692","4","4","4","2.9681","2.9681","2.9681","4","4","4","2.9669","2.9669","2.9669","4","4","4","2.985","2.985","2.985"
"800","6","6","6","6.6495","6.6495","6.6495","6","6","6","6.6544","6.6544","6.6544","6","6","6","6.5514","6.5514","6.5514","6","6","6","6.5458","6.5458","6.5458","6","6","6","6.1051","6.1051","6.1051","6","6","6","6.1014","6.1014","6.1014","6","6","6","5.7694","5.7694","5.7694","6","6","6","5.7896","5.7896","5.7896","6","6","6","2.7134","2.7134","2.7134","6","6","6","2.6997","2.6997","2.6997","6","6","6","2.8273","2.8273","2.8273","6","6","6","2.8276","2.8276","2.8276","6","6","6","2.9032","2.9032","2.9032","6","6","6","2.8992","2.8992","2.8992","6","6","6","2.8992","2.8992","2.8992","6","6","6","2.8027","2.8027","2.8027","6","6","6","2.7987","2.7987","2.7987","6","6","6","2.7379","2.7379","2.7379","6","6","6","2.8043","2.8043","2.8043","6","6","6","2.8017","2.8017","2.8017","6","6","6","2.7478","2.7478","2.7478","6","6","6","2.8522","2.8522","2.8522","6","6","6","2.8514","2.8514","2.8514","6","6","6","2.9038","2.9038","2.9038"
"1000","8","8","8","6.5714","6.5714","6.5714","8","8","8","6.5771","6.5771","6.5771","8","8","8","6.3918","6.3918","6.3918","8","8","8","6.3912","6.3912","6.3912","8","8","8","6.0419","6.0419","6.0419","8","8","8","6.031","6.031","6.031","8","8","8","5.6597","5.6597","5.6597","8","8","8","5.6845","5.6845","5.6845","8","8","8","2.6752","2.6752","2.6752","8","8","8","2.6256","2.6256","2.6256","8","8","8","2.793","2.793","2.793","8","8","8","2.7936","2.7936","2.7936","8","8","8","2.8634","2.8634","2.8634","8","8","8","2.871","2.871","2.871","8","8","8","2.8691","2.8691","2.8691","8","8","8","2.7887","2.7887","2.7887","8","8","8","2.7817","2.7817","2.7817","8","8","8","2.6781","2.6781","2.6781","8","8","8","2.7888","2.7888","2.7888","8","8","8","2.7854","2.7854","2.7854","8","8","8","2.7127","2.7127","2.7127","8","8","8","2.8184","2.8184","2.8184","8","8","8","2.8179","2.8179","2.8179","8","8","8","2.8641","2.8641","2.8641"
"1200","10","10","10","6.4949","6.4949","6.4949","10","10","10","6.5027","6.5027","6.5027","10","10","10","6.2493","6.2493","6.2493","10","10","10","6.2526","6.2526","6.2526","10","10","10","5.9641","5.9641","5.9641","10","10","10","5.9527","5.9527","5.9527","10","10","10","5.5546","5.5546","5.5546","10","10","10","5.5821","5.5821","5.5821","10","10","10","2.6047","2.6047","2.6047","10","10","10","2.5279","2.5279","2.5279","10","10","10","2.7763","2.7763","2.7763","10","10","10","2.7775","2.7775","2.7775","10","10","10","2.8459","2.8459","2.8459","10","10","10","2.8527","2.8527","2.8527","10","10","10","2.8511","2.8511","2.8511","10","10","10","2.7786","2.7786","2.7786","10","10","10","2.7613","2.7613","2.7613","10","10","10","2.5989","2.5989","2.5989","10","10","10","2.7779","2.7779","2.7779","10","10","10","2.7738","2.7738","2.7738","10","10","10","2.6474","2.6474","2.6474","10","10","10","2.802","2.802","2.802","10","10","10","2.8011","2.8011","2.8011","10","10","10","2.8461","2.8461","2.8461"
"1400","12","12","12","6.4286","6.4286","6.4286","12","12","12","6.4388","6.4388","6.4388","12","12","12","6.1393","6.1393","6.1393","12","12","12","6.1429","6.1429","6.1429","12","12","12","5.8948","5.8948","5.8948","12","12","12","5.8798","5.8798","5.8798","12","12","12","5.4714","5.4714","5.4714","12","12","12","5.5002","5.5002","5.5002","12","12","12","2.5067","2.5067","2.5067","12","12","12","2.4355","2.4355","2.4355","12","12","12","2.7648","2.7648","2.7648","12","12","12","2.7664","2.7664","2.7664","12","12","12","2.8371","2.8371","2.8371","12","12","12","2.8398","2.8398","2.8398","12","12","12","2.8407","2.8407","2.8407","12","12","12","2.7642","2.7642","2.7642","12","12","12","2.677","2.677","2.677","12","12","12","2.5235","2.5235","2.5235","12","12","12","2.7719","2.7719","2.7719","12","12","12","2.7659","2.7659","2.7659","12","12","12","2.5685","2.5685","2.5685","12","12","12","2.7915","2.7915","2.7915","12","12","12","2.7906","2.7906","2.7906","12","12","12","2.8369","2.8369","2.8369"
"1600","14","14","14","6.3778","6.3778","6.3778","14","14","14","6.3878","6.3878","6.3878","14","14","14","6.0574","6.0574","6.0574","14","14","14","6.06","6.06","6.06","14","14","14","5.8382","5.8382","5.8382","14","14","14","5.8141","5.8141","5.8141","14","14","14","5.408","5.408","5.408","14","14","14","5.4354","5.4354","5.4354","14","14","14","2.4072","2.4072","2.4072","14","14","14","2.3516","2.3516","2.3516","14","14","14","2.7561","2.7561","2.7561","14","14","14","2.7579","2.7579","2.7579","14","14","14","2.829","2.829","2.829","14","14","14","2.8297","2.8297","2.8297","14","14","14","2.8326","2.8326","2.8326","14","14","14","2.717","2.717","2.717","14","14","14","2.4695","2.4695","2.4695","14","14","14","2.4532","2.4532","2.4532","14","14","14","2.7639","2.7639","2.7639","14","14","14","2.753","2.753","2.753","14","14","14","2.4871","2.4871","2.4871","14","14","14","2.7846","2.7846","2.7846","14","14","14","2.784","2.784","2.784","14","14","14","2.8285","2.8285","2.8285"
"1800","16","16","16","6.3304","6.3304","6.3304","16","16","16","6.3392","6.3392","6.3392","16","16","16","5.9875","5.9875","5.9875","16","16","16","5.9901","5.9901","5.9901","16","16","16","5.7874","5.7874","5.7874","16","16","16","5.7299","5.7299","5.7299","16","16","16","5.3546","5.3546","5.3546","16","16","16","5.3817","5.3817","5.3817","16","16","16","2.3113","2.3113","2.3113","16","16","16","2.2722","2.2722","2.2722","16","16","16","2.7476","2.7476","2.7476","16","16","16","2.7493","2.7493","2.7493","16","16","16","2.8257","2.8257","2.8257","16","16","16","2.8212","2.8212","2.8212","16","16","16","2.8245","2.8245","2.8245","16","16","16","2.5993","2.5993","2.5993","16","16","16","2.3115","2.3115","2.3115","16","16","16","2.3741","2.3741","2.3741","16","16","16","2.7578","2.7578","2.7578","16","16","16","2.7345","2.7345","2.7345","16","16","16","2.3988","2.3988","2.3988","16","16","16","2.7781","2.7781","2.7781","16","16","16","2.7777","2.7777","2.7777","16","16","16","2.8245","2.8245","2.8245"
"2000","18","18","18","6.2792","6.2792","6.2792","18","18","18","6.2888","6.2888","6.2888","18","18","18","5.9224","5.9224","5.9224","18","18","18","5.9234","5.9234","5.9234","18","18","18","5.7209","5.7209","5.7209","18","18","18","5.6082","5.6082","5.6082","18","18","18","5.2917","5.2917","5.2917","18","18","18","5.318","5.318","5.318","18","18","18","2.2219","2.2219","2.2219","18","18","18","2.1989","2.1989","2.1989","18","18","18","2.7428","2.7428","2.7428","18","18","18","2.7448","2.7448","2.7448","18","18","18","2.819","2.819","2.819","18","18","18","2.8176","2.8176","2.8176","18","18","18","2.8208","2.8208","2.8208","18","18","18","2.4467","2.4467","2.4467","18","18","18","2.1921","2.1921","2.1921","18","18","18","2.3049","2.3049","2.3049","18","18","18","2.7464","2.7464","2.7464","18","18","18","2.6852","2.6852","2.6852","18","18","18","2.3218","2.3218","2.3218","18","18","18","2.7741","2.7741","2.7741","18","18","18","2.7738","2.7738","2.7738","18","18","18","2.8164","2.8164","2.8164"
