bert_small--encoder--jigsaw,bert_small--encoder--jigsaw--symmetric-init,bert_small--encoder--wikipedia,bert_small--encoder--wikipedia--symmetric-init,bert_small--encoder--red_pajama,bert_small--encoder--red_pajama--symmetric-init,bert--encoder--jigsaw,bert--encoder--jigsaw--symmetric-init,bert--encoder--wikipedia,bert--encoder--wikipedia--symmetric-init,bert--encoder--red_pajama,bert--encoder--red_pajama--symmetric-init
9.6087,9.5959,8.7135,8.6901,8.7183,8.6934,8.1916,8.1939,5.5997,5.5907,5.6016,5.5998
7.4503,7.4346,4.2803,4.2829,4.2839,4.2824,6.3975,6.4031,2.8458,2.8469,2.8427,2.8422
6.7871,6.7834,2.9841,2.9842,2.9849,2.985,6.2107,6.2139,2.8174,2.816,2.8136,2.813
6.6544,6.6495,2.8992,2.8992,2.9032,2.9038,6.1051,6.1014,2.8027,2.7987,2.8043,2.8017
6.5771,6.5714,2.8691,2.871,2.8634,2.8641,6.0419,6.031,2.7887,2.7817,2.7888,2.7854
6.5027,6.4949,2.8511,2.8527,2.8459,2.8461,5.9641,5.9527,2.7786,2.7613,2.7779,2.7738
6.4388,6.4286,2.8407,2.8398,2.8371,2.8369,5.8948,5.8798,2.7642,2.677,2.7719,2.7659
6.3878,6.3778,2.8326,2.8297,2.829,2.8285,5.8382,5.8141,2.717,2.4695,2.7639,2.753
6.3392,6.3304,2.8245,2.8212,2.8257,2.8245,5.7874,5.7299,2.5993,2.3115,2.7578,2.7345
6.2888,6.2792,2.8208,2.8176,2.819,2.8164,5.7209,5.6082,2.4467,2.1921,2.7464,2.6852
6.2614,6.2503,2.8196,2.8158,2.8164,2.8129,5.6666,5.4996,2.3327,2.0654,2.7359,2.5708
6.2251,6.2103,2.8167,2.8116,2.8108,2.806,5.5838,5.3672,2.2154,1.9073,2.7191,2.3937
6.1918,6.1742,2.8149,2.8082,2.8074,2.8019,5.4864,5.2072,2.0736,1.7547,2.6986,2.2402
6.1737,6.1526,2.8111,2.8036,2.805,2.7991,5.3896,5.0108,1.959,1.6279,2.6521,2.0557
6.1409,6.1174,2.8075,2.7996,2.7997,2.7935,5.257,4.8045,1.854,1.5258,2.5415,1.8619
6.1172,6.0907,2.8036,2.7954,2.7955,2.7891,5.1471,4.6388,1.7266,1.4426,2.4305,1.6899
6.0941,6.0652,2.8022,2.7932,2.7945,2.7883,5.0244,4.4857,1.5934,1.3745,2.3434,1.5654
6.0839,6.0547,2.8005,2.7902,2.7913,2.7852,4.9323,4.3839,1.4935,1.3153,2.2667,1.4751
6.0564,6.0253,2.7973,2.7857,2.7894,2.7833,4.8232,4.2831,1.4166,1.2638,2.167,1.3973
6.0365,6.0018,2.7974,2.784,2.7869,2.7809,4.7034,4.1753,1.3586,1.2219,2.0371,1.3373
6.022,5.9843,2.7943,2.7792,2.7847,2.7782,4.5976,4.0998,1.3084,1.1824,1.8906,1.2832
6.0005,5.9574,2.7919,2.7748,2.7834,2.7768,4.4845,4.035,1.2646,1.1476,1.7535,1.2346
5.9895,5.942,2.7902,2.7689,2.7807,2.774,4.3775,3.9733,1.2258,1.115,1.6423,1.1924
5.9667,5.9087,2.7886,2.7616,2.7794,2.7729,4.2845,3.9181,1.1932,1.0881,1.5584,1.1508
5.9461,5.8739,2.7836,2.7432,2.7774,2.7706,4.1835,3.8606,1.1597,1.0604,1.4912,1.1161
5.9337,5.8457,2.7812,2.703,2.7757,2.7685,4.0978,3.8149,1.1301,1.0296,1.4332,1.0809
5.9204,5.8127,2.7774,2.6423,2.7732,2.766,4.026,3.7745,1.1041,1.0044,1.3843,1.0522
5.9002,5.7741,2.7749,2.5825,2.7722,2.7643,3.9593,3.7343,1.0821,0.9708,1.3387,1.0203
5.8823,5.7343,2.7708,2.5364,2.7713,2.7628,3.8894,3.6822,1.061,0.9477,1.2992,0.9951
5.8762,5.7043,2.7637,2.498,2.7685,2.7599,3.855,3.6628,1.0371,0.925,1.2643,0.9742
5.8543,5.6533,2.7575,2.4706,2.7677,2.7583,3.7929,3.6131,1.021,0.9107,1.2318,0.9539
5.8311,5.6023,2.7494,2.4494,2.7658,2.7555,3.7413,3.5712,1.001,0.8918,1.2004,0.9334
5.8227,5.5652,2.7432,2.429,2.7659,2.7549,3.7031,3.5412,0.9842,0.8771,1.1751,0.9189
5.8127,5.5274,2.735,2.4094,2.7627,2.7508,3.6747,3.5196,0.9684,0.8619,1.1476,0.9005
5.7783,5.4611,2.7231,2.3903,2.7596,2.7462,3.6096,3.4621,0.9518,0.8468,1.1255,0.8865
5.7837,5.4404,2.7117,2.3733,2.7583,2.7442,3.5992,3.456,0.9382,0.8336,1.105,0.8739
5.7671,5.4,2.6959,2.3542,2.7565,2.7411,3.5759,3.4351,0.9241,0.8221,1.0858,0.8605
5.7448,5.3579,2.6652,2.3332,2.7541,2.7384,3.5355,3.3962,0.9081,0.8098,1.0667,0.848
5.7172,5.3145,2.6385,2.3002,2.7549,2.7384,3.5011,3.3664,0.8959,0.8031,1.0502,0.8381
5.6872,5.2671,2.6157,2.2639,2.7508,2.7335,3.4671,3.3382,0.8822,0.79,1.0327,0.8262
5.6547,5.2265,2.5931,2.2345,2.75,2.7301,3.4383,3.3089,0.8715,0.7799,1.015,0.8144
5.6254,5.1878,2.577,2.2115,2.7468,2.7196,3.4174,3.2896,0.8627,0.772,1.0029,0.8065
5.5918,5.1361,2.5623,2.1902,2.7443,2.7036,3.3761,3.2502,0.852,0.7636,0.9853,0.794
5.5823,5.1133,2.5445,2.1695,2.7404,2.6787,3.3766,3.2534,0.84,0.7533,0.9714,0.7849
5.5369,5.0485,2.5286,2.1529,2.7403,2.6553,3.3313,3.2098,0.8315,0.7458,0.9604,0.7781
5.5056,5.0005,2.5089,2.1351,2.7362,2.6292,3.3101,3.1929,0.8225,0.7369,0.9468,0.7682
5.4837,4.9625,2.4939,2.1193,2.7359,2.6086,3.2952,3.1772,0.8139,0.7293,0.9391,0.7633
5.4526,4.9124,2.4768,2.1006,2.734,2.5874,3.2515,3.1419,0.8046,0.7206,0.9258,0.7542
5.4343,4.8787,2.4627,2.085,2.7303,2.5672,3.242,3.1337,0.7963,0.7133,0.9175,0.749
5.4097,4.8474,2.4497,2.0697,2.7279,2.5493,3.2381,3.133,0.7882,0.707,0.9031,0.7385
5.3722,4.7902,2.4352,2.0545,2.7249,2.5333,3.1877,3.0861,0.7804,0.6994,0.895,0.7325
5.3606,4.7649,2.4213,2.0415,2.7247,2.521,3.1927,3.0923,0.7753,0.6949,0.886,0.7267
5.3308,4.7201,2.4072,2.0272,2.7223,2.5075,3.1639,3.068,0.7675,0.6885,0.8748,0.7191
5.3056,4.6855,2.3931,2.0138,2.7198,2.4945,3.1391,3.0453,0.7602,0.6808,0.862,0.7136
5.2684,4.6353,2.3822,2.0006,2.7164,2.4819,3.1093,3.021,0.7536,0.6756,0.8511,0.7079
5.2629,4.6226,2.3672,1.985,2.7144,2.4696,3.123,3.0347,0.7465,0.6686,0.8428,0.7021
5.2179,4.5713,2.3554,1.9721,2.7132,2.4598,3.0741,2.989,0.7386,0.6607,0.8354,0.6978
5.2037,4.5482,2.3444,1.9599,2.707,2.447,3.0666,2.9866,0.736,0.6595,0.827,0.6904
5.1671,4.511,2.3342,1.948,2.7059,2.4388,3.0479,2.9684,0.7289,0.653,0.8208,0.6859
5.1472,4.4863,2.3246,1.9349,2.7027,2.4292,3.0209,2.9433,0.724,0.6482,0.8145,0.6815
5.101,4.45,2.3154,1.9233,2.6988,2.421,3.0005,2.9273,0.719,0.6437,0.8057,0.6748
5.0874,4.4397,2.304,1.9114,2.6803,2.4082,3.0091,2.9351,0.7142,0.6393,0.7991,0.6702
5.0571,4.4117,2.292,1.8957,2.6607,2.399,2.9792,2.9098,0.7071,0.6325,0.7931,0.6658
5.0273,4.3873,2.2825,1.8837,2.638,2.386,2.9677,2.9006,0.7025,0.6284,0.786,0.6606
4.9969,4.368,2.272,1.8731,2.6181,2.3695,2.9589,2.8898,0.7018,0.6285,0.7811,0.6576
4.9634,4.3363,2.254,1.859,2.598,2.3428,2.9319,2.8693,0.6912,0.6192,0.7741,0.6515
4.9306,4.3176,2.2331,1.8468,2.5799,2.3108,2.9195,2.8571,0.6901,0.6177,0.7684,0.6475
4.9045,4.2965,2.2142,1.8326,2.5659,2.2831,2.9064,2.8456,0.6835,0.6113,0.7651,0.6459
4.8752,4.2792,2.1988,1.8196,2.5492,2.2549,2.8936,2.8339,0.6802,0.6087,0.7577,0.639
4.8433,4.2562,2.1857,1.8046,2.5341,2.2307,2.8771,2.818,0.677,0.6055,0.7532,0.6365
4.8157,4.2415,2.1731,1.7897,2.5232,2.2122,2.878,2.8209,0.6733,0.602,0.7485,0.633
4.7888,4.2313,2.1594,1.7729,2.5116,2.1953,2.8717,2.8134,0.6677,0.5966,0.7435,0.63
4.7458,4.1972,2.1505,1.7586,2.4998,2.1789,2.838,2.7789,0.6636,0.5929,0.7388,0.6256
4.7313,4.2003,2.1386,1.7405,2.4877,2.1623,2.8421,2.7851,0.6584,0.5878,0.7327,0.6208
4.6748,4.1666,2.1302,1.7285,2.4776,2.1486,2.8244,2.7692,0.6559,0.5859,0.7283,0.6174
4.6516,4.1571,2.1215,1.7141,2.4688,2.1345,2.8128,2.7609,0.6526,0.5831,0.7239,0.6149
4.6018,4.1354,2.1119,1.701,2.4589,2.1207,2.8021,2.7501,0.6501,0.5809,0.7193,0.6107
